Title,Duration,Genre,Rating,Gross,Director,Lead,Year
Juice,95 min,"Action, Crime, Drama",R,20.15,Ernest R. Dickerson,Omar Epps,1992
The Glimmer Man,91 min,"Action, Comedy, Crime",R,20.1,John Gray,Steven Seagal,1996
An Innocent Man,113 min,"Action, Crime, Drama",R,20.05,Peter Yates,Tom Selleck,1989
The Presidio,97 min,"Action, Crime, Mystery",R,20.04,Peter Hyams,Sean Connery,1988
Eyes of Laura Mars,104 min,"Mystery, Thriller",R,20.0,Irvin Kershner,Faye Dunaway,1978
Assault on Precinct 13,109 min,"Action, Crime, Drama",R,19.98,Jean-François Richet,Ethan Hawke,2005
Breathless,100 min,"Action, Drama, Romance",R,19.91,Jim McBride,Richard Gere,1983
Altered States,102 min,"Horror, Sci-Fi, Thriller",R,19.85,Ken Russell,William Hurt,1980
Hard Rain,97 min,"Action, Crime, Drama",R,19.82,Mikael Salomon,Morgan Freeman,1998
Cruising,102 min,"Crime, Drama, Mystery",R,19.8,William Friedkin,Al Pacino,1980
The Spirit,103 min,"Action, Crime, Fantasy",PG-13,19.78,Frank Miller,Gabriel Macht,2008
Yu-Gi-Oh!: The Movie - Pyramid of Light,90 min,"Animation, Action, Adventure",PG,19.76,Christopher Collet,Eric Stuart,2004
Young Sherlock Holmes,109 min,"Adventure, Fantasy, Mystery",PG-13,19.74,Barry Levinson,Nicholas Rowe,1985
The Principal,109 min,"Action, Crime, Drama",R,19.73,Christopher Cain,Jim Belushi,1987
Color of Night,121 min,"Drama, Mystery, Romance",R,19.72,Richard Rush,Bruce Willis,1994
The Pledge,124 min,"Crime, Drama, Mystery",R,19.72,Sean Penn,Jack Nicholson,I 2001
Broken City,109 min,"Action, Crime, Drama",R,19.7,Allen Hughes,Mark Wahlberg,2013
The Life of David Gale,130 min,"Crime, Drama, Thriller",R,19.59,Alan Parker,Kevin Spacey,2003
Léon: The Professional,110 min,"Action, Crime, Drama",R,19.5,Luc Besson,Jean Reno,1994
Friday the 13th Part VI: Jason Lives,86 min,"Horror, Thriller",R,19.47,Tom McLoughlin,Thom Mathews,1986
Vacancy,85 min,"Horror, Thriller",R,19.36,Nimród Antal,Kate Beckinsale,2007
Joe,107 min,"Drama, Thriller",R,19.32,John G. Avildsen,Peter Boyle,1970
Runner Runner,88 min,"Crime, Thriller",R,19.32,Brad Furman,Ben Affleck,2013
Summer of Sam,142 min,"Crime, Drama, Romance",R,19.28,Spike Lee,John Leguizamo,1999
Deathtrap,116 min,"Comedy, Crime, Mystery",PG,19.28,Sidney Lumet,Michael Caine,1982
Friday the 13th Part VII: The New Blood,88 min,"Horror, Thriller",R,19.17,John Carl Buechler,Terry Kiser,1988
Species II,93 min,"Action, Horror, Sci-Fi",R,19.17,Peter Medak,Natasha Henstridge,1998
Johnny Mnemonic,96 min,"Action, Drama, Sci-Fi",R,19.08,Robert Longo,Keanu Reeves,1995
The Impossible,114 min,"Adventure, Drama, History",PG-13,19.02,J.A. Bayona,Naomi Watts,2012
Mortal Thoughts,103 min,"Mystery, Thriller",R,19.02,Alan Rudolph,Demi Moore,1991
The Boys from Brazil,125 min,"Drama, Mystery, Sci-Fi",R,19.0,Franklin J. Schaffner,Gregory Peck,1978
Sniper,98 min,"Action, Thriller, War",R,18.99,Luis Llosa,Tom Berenger,1993
The Octagon,103 min,"Action, Drama, Romance",R,18.97,Eric Karson,Chuck Norris,1980
